timestamp,x,y,z,color,mesh
0,-76,-150,338,#6e14a0,cube
1,-52,177,192,#799e3c,cone
2,112,100,-193,#04b27d,cone
3,-284,-221,-304,#b074ee,cube
4,-293,-351,397,#a7d6f0,cube
5,113,-227,77,#a43702,cube
6,137,-162,88,#503ccb,cone
7,74,-397,398,#15d6e6,cone
8,263,342,-346,#4f9f95,cone
9,-366,-263,-278,#eb6d45,cone
10,304,178,334,#1092f0,sphere
11,-247,136,257,#94d0f2,sphere
12,72,266,150,#f88961,cube
13,337,31,-187,#58c7f1,sphere
14,-33,121,-291,#d2460d,cone
15,257,283,217,#fd2921,cube
16,273,-186,-105,#707cf2,cone
17,-227,-197,-206,#96d5d8,cube
18,-276,-5,-358,#0bceb9,cone
19,207,62,69,#e45c52,cube
20,-125,-10,165,#ab1f00,sphere
